sample_uid,PCR_id,Barcode,Order Date,Sent,Result,Sequence,megablast,megablast_identity,blastn,blastn_identity
1_LAL_006,1,TS03670208,17/08/2022,Y,Passed,,mus_setulosus,93.86,mus_setulosus,93.86
1_LAL_007,2,TS03670209,17/08/2022,Y,Passed,,mus_setulosus,94.14,mus_setulosus,94.14
1_LAL_017,3,TS03670210,17/08/2022,Y,Passed,,mus_setulosus,97.25,mus_setulosus,97.25
2_LAL_003,4,TS03670211,17/08/2022,Y,Failed,,,,rattus_rattus,81.82
2_LAL_004,5,TS03670212,17/08/2022,Y,Failed,,mus_setulosus,87.23,mus_setulosus,87.23
2_LAL_006,6,TS03670213,17/08/2022,Y,Failed,,,,mus_setulosus,83.95
2_LAL_008,8,TS03670214,17/08/2022,Y,Failed,,,,mus_setulosus,85.29
2_LAL_014,9,TS03670215,17/08/2022,Y,Passed,,mus_setulosus,95.49,mus_setulosus,95.49
2_LAL_015,10,TS03670216,17/08/2022,Y,Passed,,mus_setulosus,100,mus_setulosus,100
2_LAL_016,11,TS03670217,17/08/2022,Y,Passed,,rattus_rattus,91.68,rattus_rattus,91.68
3_LAL_003,12,TS03670218,17/08/2022,Y,Passed,,praomys_rostratus,96.39,praomys_rostratus,96.39
3_LAL_006,14,TS03670219,17/08/2022,Y,Failed,,,,crocidura_olivieri,84.73
3_LAL_007,15,TS03670220,17/08/2022,Y,Passed,,mastomys_natalensis,92.4,mastomys_natalensis,92.4
1_SEI_002,16,TS03670221,17/08/2022,Y,Passed,,mus_setulosus,94.56,mus_setulosus,94.56
1_SEI_008,17,TS03670222,17/08/2022,Y,Failed,,,,praomys_rostratus,84.21
1_SEI_009,18,TS03670223,17/08/2022,Y,Failed,,,,praomys_rostratus,83.22
1_SEI_011,19,TS03670224,17/08/2022,Y,Failed,,,,praomys_rostratus,81.16
1_SEI_014,20,TS03670225,17/08/2022,Y,Passed,,praomys_rostratus,97.58,praomys_rostratus,97.58
1_SEI_015,21,TS03670226,17/08/2022,Y,Passed,,praomys_rostratus,89.37,praomys_rostratus,89.37
1_SEI_021,22,TS03670227,17/08/2022,Y,Failed,,,,praomys_rostratus,81.65
1_SEI_022,23,TS03670228,17/08/2022,Y,Passed,,praomys_rostratus,93.19,praomys_rostratus,93.19
1_SEI_024,24,TS03670229,17/08/2022,Y,Failed,,,,praomys_rostratus,81.13
1_SEI_025,25,TS03670230,17/08/2022,Y,Failed,,,,praomys_rostratus,85.29
1_SEI_026,26,TS03670231,17/08/2022,Y,Failed,,praomys_rostratus,90.68,praomys_rostratus,90.68
1_SEI_027,27,TS03670232,17/08/2022,Y,Failed,None,,,,
1_SEI_029,28,TS03670233,17/08/2022,Y,Passed,,mastomys_natalensis,88.14,mastomys_natalensis,88.14
1_SEI_033,29,TS03670234,17/08/2022,Y,Passed,,praomys_rostratus,95.11,praomys_rostratus,94.88
1_SEI_036,30,TS03670235,17/08/2022,Y,Passed,,mastomys_natalensis,90.26,mastomys_natalensis,88.94
1_SEI_037,31,TS03670236,17/08/2022,Y,Failed,None,,,,
1_SEI_039,32,TS03670237,17/08/2022,Y,Passed,,praomys_rostratus,93.96,praomys_rostratus,93.96
1_SEI_040,33,TS03670238,17/08/2022,Y,Failed,,,,praomys_rostratus,87.18
1_SEI_042,34,TS03670239,17/08/2022,Y,Failed,,,,hybomys_planifrons,81.15
1_SEI_043,35,TS03670240,17/08/2022,Y,Passed,,mastomys_natalensis,94.09,mastomys_natalensis,94.09
2_LAL_013,36,TS03670241,17/08/2022,Y,Failed,,,,mastomys_erythroleucus,87.56
2_SEI_001,37,TS03670242,17/08/2022,Y,Passed,,mus_setulosus,96.12,mus_setulosus,96.12
2_SEI_002,38,TS03670243,17/08/2022,Y,Failed,,,,praomys_rostratus,82.25
1_LAL_001,326,TS03670244,17/08/2022,Y,Passed,,lophuromys_sikapusi,96.58,lophuromys_sikapusi,96.58
1_LAL_002,327,TS03670245,17/08/2022,Y,Passed,,crocidura_olivieri,94.96,crocidura_olivieri,94.96
1_LAL_003,328,TS03670246,17/08/2022,Y,Passed,,lemniscomys_striatus,96.7,lemniscomys_striatus,96.7
1_LAL_004,329,TS03670247,17/08/2022,Y,Passed,,lophuromys_sikapusi,94.46,lophuromys_sikapusi,94.46
1_LAL_005,330,TS03670248,17/08/2022,Y,Passed,,crocidura_theresae,97.51,crocidura_theresae,97.51
1_LAL_008,331,TS03670249,17/08/2022,Y,Passed,,crocidura_olivieri,96.7,crocidura_olivieri,96.7
1_LAL_009,332,TS03670250,17/08/2022,Y,Passed,,lophuromys_sikapusi,94.08,lophuromys_sikapusi,94.08
1_LAL_010,333,TS03670251,17/08/2022,Y,Passed,,lophuromys_sikapusi,96.04,lophuromys_sikapusi,96.04
1_LAL_011,334,TS03670252,17/08/2022,Y,Passed,,lophuromys_sikapusi,95.3,lophuromys_sikapusi,95.3
1_LAL_012,335,TS03670253,17/08/2022,Y,Passed,,crocidura_olivieri,97.2,crocidura_olivieri,97.2
1_LAL_013,336,TS03670254,17/08/2022,Y,Passed,,crocidura_olivieri,98.12,crocidura_olivieri,98.12
1_LAL_014,337,TS03670255,17/08/2022,Y,Passed,,crocidura_olivieri,97.14,crocidura_olivieri,97.14
1_LAL_015,338,TS03670256,17/08/2022,Y,Passed,,crocidura_olivieri,96.42,crocidura_olivieri,96.42
1_LAL_016,339,TS03670257,17/08/2022,Y,Passed,,crocidura_theresae,84.35,crocidura_theresae,84.35
1_LAL_018,340,TS03670258,17/08/2022,Y,Passed,,lophuromys_sikapusi,95.24,lophuromys_sikapusi,95.24
1_LAL_019,341,TS03670259,17/08/2022,Y,Passed,,lophuromys_sikapusi,95.45,lophuromys_sikapusi,95.45
1_LAL_020,342,TS03670260,17/08/2022,Y,Passed,,crocidura_grandiceps,96.98,crocidura_grandiceps,96.98
1_LAL_021,343,TS03670261,17/08/2022,Y,Passed,,crocidura_olivieri,95.45,crocidura_olivieri,95.45
1_LAL_022,344,TS03670262,17/08/2022,Y,Passed,,crocidura_theresae,96.94,crocidura_theresae,96.94
1_SEI_001,345,TS03670263,17/08/2022,Y,Passed,,praomys_rostratus,96.27,praomys_rostratus,96.27
1_SEI_003,346,TS03670264,17/08/2022,Y,Passed,,lophuromys_sikapusi,93.93,lophuromys_sikapusi,93.93
1_SEI_004,347,TS03670265,17/08/2022,Y,Passed,,lophuromys_sikapusi,92.54,lophuromys_sikapusi,92.54
1_SEI_005,348,TS03670266,17/08/2022,Y,Passed,,praomys_rostratus,89.17,praomys_rostratus,89.17
1_SEI_007,350,TS03670267,17/08/2022,Y,Passed,,crocidura_olivieri,98.13,crocidura_olivieri,98.13
1_SEI_010,351,TS03670268,17/08/2022,Y,Passed,,crocidura_olivieri,97.19,crocidura_olivieri,97.19
1_SEI_012,352,TS03670269,17/08/2022,Y,Passed,,lemniscomys_striatus,88.21,lemniscomys_striatus,88.21
1_SEI_013,353,TS03670270,17/08/2022,Y,Passed,,crocidura_olivieri,98.44,crocidura_olivieri,98.44
1_SEI_016,354,TS03670271,17/08/2022,Y,Failed,,hylomyscus_simus,85.31,hylomyscus_simus,85.31
1_SEI_017,355,TS03670272,17/08/2022,Y,Passed,,crocidura_olivieri,97.08,crocidura_olivieri,97.08
1_SEI_018,356,TS03670273,17/08/2022,Y,Passed,,gerbilliscus_guineae,87.31,gerbilliscus_guineae,87.31
1_SEI_019,357,TS03670274,17/08/2022,Y,Failed,,lophuromys_sikapusi,87.56,lophuromys_sikapusi,87.56
1_SEI_020,358,TS03670275,17/08/2022,N,,,,,,
1_SEI_023,359,TS03670276,17/08/2022,Y,Passed,,malacomys_edwardsi,89.93,malacomys_edwardsi,89.93
1_SEI_028,360,TS03670277,17/08/2022,Y,Passed,,lophuromys_sikapusi,94.66,lophuromys_sikapusi,94.66
1_SEI_030,361,TS03670278,17/08/2022,Y,Passed,,hylomyscus_simus,97.16,hylomyscus_simus,97.16
1_SEI_031,362,TS03670279,17/08/2022,Y,Passed,,lophuromys_sikapusi,95.87,lophuromys_sikapusi,95.87
