rodent_uid,PCR_id
1_SEI_001,345
1_SEI_005,348
1_SEI_006,349
1_SEI_016,354
1_SEI_018,356
1_SEI_020,358
1_SEI_027,27
1_SEI_037,31
1_SEI_042,34
2_LAL_007,7
2_LAL_010,372
2_LAL_011,373
2_LAL_012,374
2_SEI_002,38
2_SEI_006,42
2_SEI_007,375
2_SEI_008,376
2_SEI_009,377
2_SEI_013,378
2_SEI_014,379
2_SEI_020,51
2_SEI_021,380
2_SEI_022,52
2_SEI_025,55
2_SEI_027,57
2_SEI_029,59
2_SEI_030,60
2_SEI_031,61
2_SEI_032,62
2_SEI_033,63
2_SEI_035,64
2_SEI_037,65
2_SEI_040,68
2_SEI_042,70
2_SEI_043,71
2_SEI_044,72
2_SEI_045,73
2_SEI_046,74
2_SEI_049,75
2_SEI_050,76
2_SEI_051,77
2_SEI_052,78
2_SEI_056,388
1_BAI_001,389
1_BAI_002,79
1_BAM_001,99
1_BAM_002,100
1_BAM_003,390
1_BAM_004,391
1_BAM_005,101
1_BAM_006,102
1_BAM_007,80
1_BAM_008,81
1_BAM_009,392
1_BAM_010,393
1_BAM_011,82
1_BAM_012,394
1_BAM_013,395
1_BAM_014,396
1_LAM_001,397
1_LAM_002,398
1_LAM_003,399
1_LAM_004,400
1_LAM_005,401
1_LAM_006,402
3_LAL_001,403
3_LAL_002,404
3_LAL_004,405
3_LAL_005,13
3_LAL_008,83
3_LAL_009,84
3_LAL_010,406
3_LAL_011,407
3_LAL_012,408
3_LAL_013,85
3_SEI_001,86
3_SEI_002,409
3_SEI_003,410
3_SEI_004,87
3_SEI_005,88
3_SEI_006,89
3_SEI_007,90
3_SEI_008,411
3_SEI_009,412
3_SEI_010,91
3_SEI_011,92
3_SEI_012,413
3_SEI_013,93
3_SEI_014,414
3_SEI_015,415
3_SEI_016,94
3_SEI_017,416
3_SEI_018,95
3_SEI_019,96
3_SEI_020,417
3_SEI_021,97
3_SEI_022,418
3_SEI_023,98
3_SEI_024,419
2_BAI_001,420
2_BAI_002,421
2_BAI_003,103
2_BAI_004,104
2_BAI_005,105
2_BAI_006,106
2_BAI_007,107
2_BAI_008,108
2_BAI_009,109
2_BAI_010,110
2_BAI_011,111
2_BAI_012,422
2_BAI_013,112
2_BAI_014,113
2_BAI_015,114
2_BAI_016,115
2_BAI_017,116
2_BAI_018,117
2_BAI_019,118
2_LAM_001,423
2_LAM_002,424
2_LAM_003,119
2_LAM_004,425
2_LAM_005,120
2_LAM_006,121
2_LAM_007,122
2_LAM_008,123
2_LAM_009,124
2_LAM_010,125
2_LAM_011,126
2_LAM_012,127
2_LAM_013,128
2_LAM_014,129
2_LAM_015,130
2_LAM_016,131
2_LAM_017,426
2_LAM_018,132
2_LAM_019,133
2_LAM_020,134
2_LAM_021,135
2_LAM_022,427
2_LAM_023,136
2_LAM_024,137
2_LAM_025,138
2_LAM_026,139
2_LAM_027,140
2_LAM_028,141
2_LAM_029,142
2_LAM_030,143
2_LAM_031,144
2_LAM_032,145
2_LAM_033,146
2_LAM_034,147
2_LAM_035,428
2_LAM_036,148
4_LAL_001,149
4_LAL_002,150
4_LAL_003,151
4_LAL_004,152
4_LAL_005,153
4_LAL_006,429
4_LAL_007,154
4_LAL_008,155
4_LAL_009,156
4_LAL_010,157
4_LAL_011,158
4_LAL_012,159
4_LAL_013,160
4_LAL_014,161
4_LAL_015,162
4_LAL_016,163
4_LAL_017,164
4_LAL_018,165
4_LAL_019,166
4_LAL_020,167
4_LAL_021,430
4_LAL_022,168
4_LAL_023,169
4_LAL_024,170
4_LAL_025,171
4_LAL_026,172
4_LAL_027,431
4_LAL_028,432
4_SEI_001,433
4_SEI_002,173
4_SEI_003,434
4_SEI_004,174
4_SEI_005,175
4_SEI_006,176
4_SEI_007,177
4_SEI_008,435
4_SEI_009,436
4_SEI_010,178
4_SEI_011,179
4_SEI_012,180
4_SEI_013,181
4_SEI_014,437
4_SEI_015,438
4_SEI_016,439
4_SEI_017,440
4_SEI_018,441
4_SEI_019,182
4_SEI_020,183
4_SEI_021,184
4_SEI_022,185
4_SEI_023,186
3_BAI_001,442
3_BAI_002,443
3_BAI_003,187
3_BAI_004,188
3_BAI_005,189
3_BAI_006,444
3_BAI_007,445
3_BAI_008,190
3_BAI_009,191
3_BAI_010,192
3_BAI_011,193
3_BAI_012,446
3_BAI_013,194
3_BAI_014,195
3_BAI_015,196
3_BAI_016,447
3_BAI_017,197
3_BAI_018,198
3_BAI_019,448
3_BAI_020,199
3_BAI_021,200
3_LAM_001,201
3_LAM_002,202
3_LAM_003,203
3_LAM_004,204
3_LAM_005,449
3_LAM_006,205
3_LAM_007,206
3_LAM_008,207
3_LAM_009,208
3_LAM_010,209
3_LAM_011,210
3_LAM_012,211
3_LAM_013,212
3_LAM_014,450
3_LAM_015,213
3_LAM_016,214
3_LAM_017,215
3_LAM_018,216
3_LAM_019,217
3_LAM_020,218
5_LAL_001,219
5_LAL_002,451
5_LAL_003,220
5_LAL_004,221
5_LAL_005,452
5_LAL_006,453
5_LAL_007,222
5_LAL_008,454
5_LAL_009,223
5_LAL_010,455
5_LAL_011,456
5_LAL_012,457
5_LAL_013,458
5_LAL_014,459
5_LAL_015,224
5_SEI_001,460
5_SEI_002,461
5_SEI_003,225
5_SEI_004,462
5_SEI_005,463
5_SEI_006,464
5_SEI_007,226
5_SEI_008,227
5_SEI_009,228
5_SEI_010,229
5_SEI_011,465
5_SEI_012,230
5_SEI_013,231
5_SEI_014,466
5_SEI_015,467
5_SEI_016,232
5_SEI_017,468
5_SEI_018,469
5_SEI_019,233
5_SEI_020,470
5_SEI_021,234
5_SEI_022,235
5_SEI_023,236
5_SEI_024,237
5_SEI_025,238
5_SEI_026,239
5_SEI_027,240
5_SEI_028,471
5_SEI_029,241
5_SEI_030,242
5_SEI_031,243
5_SEI_032,244
5_SEI_033,245
5_SEI_034,246
5_SEI_035,247
5_SEI_036,248
5_SEI_037,249
5_SEI_038,250
5_SEI_039,251
5_SEI_040,252
5_SEI_041,472
5_SEI_042,253
5_SEI_043,254
5_SEI_044,255
4_BAI_001,256
4_BAI_002,257
4_BAI_003,258
4_BAI_004,259
4_BAI_005,260
4_BAI_006,261
4_BAI_007,262
4_BAI_008,263
4_BAI_009,264
4_BAI_010,265
4_BAI_011,266
4_BAI_012,473
4_BAI_013,474
4_BAI_014,267
4_BAI_015,268
4_BAI_016,269
4_BAI_017,270
4_BAI_018,271
4_BAI_019,272
4_BAI_020,273
4_BAI_021,274
4_BAI_022,275
4_LAM_001,475
4_LAM_002,476
4_LAM_003,477
4_LAM_004,478
4_LAM_005,479
4_LAM_006,480
4_LAM_007,276
4_LAM_008,277
4_LAM_009,278
4_LAM_010,279
4_LAM_011,280
4_LAM_012,281
4_LAM_013,282
4_LAM_014,283
4_LAM_015,284
4_LAM_016,285
4_LAM_017,286
4_LAM_018,287
4_LAM_019,288
4_LAM_020,289
4_LAM_021,290
4_LAM_022,291
4_LAM_023,292
4_LAM_024,293
4_LAM_025,294
4_LAM_026,295
4_LAM_027,296
4_LAM_028,297
4_LAM_029,298
6_LAL_001,299
6_LAL_002,300
6_LAL_005,481
6_LAL_008,482
6_LAL_011,483
6_LAL_014,309
6_SEI_001,484
6_SEI_002,485
6_SEI_003,311
6_SEI_006,314
6_SEI_007,315
6_SEI_009,317
6_SEI_010,318
6_SEI_011,486
6_SEI_012,487
6_SEI_013,488
6_SEI_014,319
